url,commit_message,num_files_changed,num_lines_changed,num_lines_per_file,gunning_fog_approx,num_chars,num_words,closes_issue,num_sentences,words_per_sentence,chars_per_word,rank_message_length,rank_message_readability,rank_commit_size,rank_commit_overall
https://api.github.com/repos/jquery/jquery/commits/fa0058af426c4e482059214c29c29f004254d9a1,"Build: Use the US spelling of ""favor"". Closes gh-4752",3,6,2,1.8,58,9,TRUE,2,4.5,6.444444444,5,5,4,5
https://api.github.com/repos/angular/angular/commits/62a58e23b6c591f107c59d0bbbbdc4884250d0e8,docs(router): Fix ActivationEnd link (#39469). ActivationEnd goes to ActivationEnd and not to ActivationStart section. PR Close #39469,1,2,2,15.33333333,135,15,TRUE,3,5.666666667,9,3,4,5,5
https://api.github.com/repos/rust-lang/rust/commits/cc9ab1cd58e55de4e60cfaf884e89a9d66563b38,Merge unsized locals pat tests,4,68,17,2,31,5,FALSE,1,5,6.2,4,5,2,4
https://api.github.com/repos/docker/machine/commits/55bfb59b67e7db9c058d6a973a46c7a2d32f0d17,plugin/localbinary: Exit output stream goroutines when plugin closes. This commit ensures that when a plugin instance is closed the goroutines. responsible for streaming stdout and stderr of the called binary will. also exit.  preventing a goroutines leak. Before this commit these goroutines could stay blocked forever if. Close() was called while the binary still had some pending output. I found this bug after debugging a real world goroutine leak.  the. goroutines dump would show thousands of goroutines at:. ```. github. com/tsuru/tsuru/vendor/github. com/docker/machine/libmachine/drivers/plugin/localbinary. stream(0xc023013d80.  0xc0000aad20).         /home/travis/gopath/src/github. com/tsuru/tsuru/vendor/github. com/docker/machine/libmachine/drivers/plugin/localbinary/plugin. go:177 +0x7c. created by github. com/tsuru/tsuru/vendor/github. com/docker/machine/libmachine/drivers/plugin/localbinary. (*Plugin). AttachStream.         /home/travis/gopath/src/github. com/tsuru/tsuru/vendor/github. com/docker/machine/libmachine/drivers/plugin/localbinary/plugin. go:183 +0x67. ```. Signed-off-by: Cezar Sa Espinola <cezarsa@gmail. com>,2,24,12,10.75896226,1146,106,TRUE,32,3.375,10.81132075,1,1,3,3
https://api.github.com/repos/python/cpython/commits/bca701403253379409dece03053dbd739c0bd059,bpo-42123: Run the parser two times and only enable invalid rules on the second run (GH-22111). * Implement running the parser a second time for the errors messages. The first parser run is only responsible for detecting whether. there is a `SyntaxError` or not.  If there isn't the AST gets returned. Otherwise.  the parser is run a second time with all the `invalid_*`. rules enabled so that all the customized error messages get produced.,6,120,20,8.175951294,443,73,FALSE,9,8.222222222,6.068493151,2,3,1,2
https://api.github.com/repos/jupyter/notebook/commits/87aa278971ce6241a894c0ac791b325a4bf70717,Merge pull request #5813 from kevin-bates/http-new-terminal. Add support for creating terminals via GET,4,114,28.5,9.066666667,104,12,FALSE,2,6.5,8.666666667,3,5,2,3
https://api.github.com/repos/vercel/next.js/commits/0f2505147031ffa4e767a4cce2a8634a32df42d8,Ensure getStaticProps is called for SSG 404 in blocking mode (#18300). This ensures that when using a `pages/404` file with `getStaticProps` that we call `getStaticProps` in `fallback: 'blocking'` mode. Fixes: https://github. com/vercel/next. js/issues/18293,3,144,48,7.641290323,259,31,TRUE,5,6.6,8.35483871,2,3,2,3
https://api.github.com/repos/dotnet/core/commits/00ac27938b88c3c013349ea2daffd0849e3dcf6f,Fix front matter (again),1,1,1,1.6,25,4,TRUE,1,4,6.25,1,5,5,5
https://api.github.com/repos/jupyter/notebook/commits/7778dc3202399161cbc4a61c258cef8ef0229455,Allow for redundant accesses of same endpoint,2,23,11.5,8.514285714,46,7,FALSE,1,7,6.571428571,5,5,3,4
https://api.github.com/repos/facebook/react/commits/0dd809bdfad2c2d714e369bb7f0082ce3ac34f9c,Remove last schedulePassiveEffectCallback call (#20042). Now there's only a single place where the passive effect callback. is scheduled.,2,62,31,11.11176471,139,17,FALSE,4,4.5,8.176470588,4,4,2,3
https://api.github.com/repos/docker/machine/commits/6ab5418ab40c9f81ba5020f436b155ee5671fc55,Merge pull request #4506 from Jason-ZW/add-nonempty-flag. Add nonempty flag,1,2,2,6.6,76,8,FALSE,2,4.5,9.5,4,5,5,5
https://api.github.com/repos/fastai/fastai/commits/f992f2583361ebd72e1fd4cb5eb327ef424988cd,ShowGraphCallback suppressed when calling learn. predict() (#2865). Co-authored-by: Jeremy Howard <j@fast. ai>,2,32,16,8.372727273,111,11,FALSE,4,3,10.09090909,3,5,3,4
https://api.github.com/repos/Alamofire/Alamofire/commits/8d34a5f5502edd6d6f1e0bad2f608dd69ccde95a,Update Alamofire 5. 0 Migration Guide. md (#3317). Removed an extra space,1,2,2,9.788888889,74,9,FALSE,4,3,8.222222222,5,4,5,5
